How often do you associate your software with a Digital Object Identifier (DOI)?,open3can[SQ001]. How often do you associate your software with a Digital Object Identifier (DOI)? [] [PERCENTAGE]
1 (None at all),4.3478260869565215
2,17.391304347826086
3,17.391304347826086
4,4.3478260869565215
5,8.695652173913043
6,8.695652173913043
7,13.043478260869565
8,21.73913043478261
9,0.0
10 (All my time),4.3478260869565215
