What type of organisation do you work for?,currentEmp1. What type of organisation do you work for? [PERCENTAGE]
University / University Medical Center / Applied University (HBO),48.05194805194805
Research Institute (Onderzoeksinstituut / Publieke Kennisorganisatie),38.961038961038966
Private Company,7.792207792207792
Other,5.194805194805195
