What is the highest qualification you have obtained?,edu1. What is the highest qualification you have obtained?
PhD,43
WO (Wetenschappelijk onderwijs) Master,29
WO (Wetenschappelijk onderwijs) Bachelor,2
HBO (Hoger beroepsonderwijs) Bachelor,2
HBO (Hoger beroepsonderwijs) Master,1
