How often do you associate your software with a Digital Object Identifier (DOI)?,open3can[SQ001]. How often do you associate your software with a Digital Object Identifier (DOI)? []
1 (None at all),1.0
2,4.0
3,4.0
4,1.0
5,2.0
6,2.0
7,3.0
8,5.0
9,
10 (All my time),1.0
