Column 2,"Job title with ""senior"" removed",Renaming postgraduates
Senior Research Software Engineer,research software engineer,research software engineer
Computational Scientist,computational scientist,computational scientist
EPSRC Research Software Engineer Fellow,epsrc research software engineer fellow,epsrc research software engineer fellow
IT Specialist,it specialist,it specialist
Scientific Programmer,scientific programmer,scientific programmer
Development Engineer,development engineer,development engineer
Data Analyst,data analyst,data analyst
Technical Head of CEMAC,technical head of cemac,technical head of cemac
Research Fellow,research fellow,postdoctoral researcher
Remote Sensing Scientist,remote sensing scientist,remote sensing scientist
Software Engineering Group Leader,software engineering group leader,software engineering group leader
Reader,reader,reader
Head of Research Software Development,head of research software development,head of research software development
Senior Software Developer,software developer,software developer
Head of Research Software Development,head of research software development,head of research software development
Senior Research Software Developer,research software developer,research software developer
Deputy Director,deputy director,deputy director
Senior Research Associate,research associate,postdoctoral researcher
Senior Computational Scientist,computational scientist,computational scientist
Research Associate,research associate,postdoctoral researcher
Research/Teaching Fellow in Flight Data,research/teaching fellow in flight data,research/teaching fellow in flight data
Senior Experimental Officer,experimental officer,experimental officer
Senior Lecturer,lecturer,lecturer
Computational Scientist,computational scientist,computational scientist
Senior Software Developer,software developer,software developer
Scientific Systems Manager,scientific systems manager,scientific systems manager
Applications Consultant,applications consultant,applications consultant
Research Assistant,research assistant,postdoctoral researcher
Research Associate,research associate,postdoctoral researcher
Bioinformatician / Computational Biologist,bioinformatician / computational biologist,bioinformatician / computational biologist
PhD Student,phd student,phd student
Lecturer,lecturer,lecturer
Member of Technical Staff,member of technical staff,member of technical staff
Research Associate,research associate,postdoctoral researcher
PhD Student,phd student,phd student
Software Engineer,software engineer,software engineer
Research Software Engineer,research software engineer,research software engineer
Bioinformatics and Web Services Specialist,bioinformatics and web services specialist,bioinformatics and web services specialist
Code development section leader,code development section leader,code development section leader
Visiting Researcher,visiting researcher,visiting researcher
Scientific Software Engineer,scientific software engineer,scientific software engineer
Research Associate,research associate,postdoctoral researcher
Research Software Engineer,research software engineer,research software engineer
Advanced Research Computing Officer,advanced research computing officer,advanced research computing officer
Postdoctoral researcher,postdoctoral researcher,postdoctoral researcher
Postdoctoral researcher,postdoctoral researcher,postdoctoral researcher
Analyst / Developer,analyst / developer,analyst / developer
Senior Research Fellow,research fellow,postdoctoral researcher
University Academic Fellow,university academic fellow,university academic fellow
Lecturer,lecturer,lecturer
Computational Physics Research Officer (though soon to be Research Software Engineer!),computational physics research officer (though soon to be research software engineer!),computational physics research officer (though soon to be research software engineer!)
learning technologist manager,learning technologist manager,learning technologist manager
Project Manager,project manager,project manager
Research Associate,research associate,postdoctoral researcher
Director,director,director
Senior web developer,web developer,web developer
Computer Officer,computer officer,computer officer
Lecturer,lecturer,lecturer
Senior Lecturer,lecturer,lecturer
Postdoctoral researcher,postdoctoral researcher,postdoctoral researcher
Research Fellow,research fellow,postdoctoral researcher
Research Associate,research associate,postdoctoral researcher
Research Associate,research associate,postdoctoral researcher
Senior Software Engineer,software engineer,software engineer
Scientist,scientist,scientist
Research Software Engineer,research software engineer,research software engineer
Senior Research Software Developer,research software developer,research software developer
Software Engineer,software engineer,software engineer
Research Fellow,research fellow,postdoctoral researcher
computational science specialist,computational science specialist,computational science specialist
Modelling Officer,modelling officer,modelling officer
Senior Research Engineer,research engineer,research engineer
Principal Scientist,principal scientist,principal scientist
Computational Scientist,computational scientist,computational scientist
Ceo,ceo,ceo
Scientific Software Engineer,scientific software engineer,scientific software engineer
Senior Software Developer,software developer,software developer
Professor,professor,professor
Data and Coding Section Leader,data and coding section leader,data and coding section leader
Real-time software & control developer,real-time software & control developer,real-time software & control developer
microwave physicist,microwave physicist,microwave physicist
Senior Engineering Analyst,engineering analyst,engineering analyst
Senior Software Engineer,software engineer,software engineer
Mechatroinics Engineer,mechatroinics engineer,mechatroinics engineer
Research Scientist,research scientist,research scientist
Research Fellow,research fellow,postdoctoral researcher
Project Scientist,project scientist,project scientist
Project Scientist,project scientist,project scientist
Postdoctoral researcher,postdoctoral researcher,postdoctoral researcher
Computational Scientist,computational scientist,computational scientist
Unit Head,unit head,unit head
Can't remember,can't remember,can't remember
Applications Developer,applications developer,applications developer
Research IT Manager,research it manager,research it manager
Research Associate,research associate,postdoctoral researcher
EPSRC Research Software Engineer Fellow,epsrc research software engineer fellow,epsrc research software engineer fellow
Scientific Software Engineer,scientific software engineer,scientific software engineer
CCP4 Group Leader,ccp4 group leader,ccp4 group leader
Scientific Software Engineer,scientific software engineer,scientific software engineer
IT Specialist,it specialist,it specialist
Senior Research Associate,research associate,postdoctoral researcher
